,Unnamed: 0,月日,黄経差,月齢,こよみ,気象庁,MIRC
60,60,3/2,45.48,3.5,中潮,中潮,中潮
61,61,3/3,58.77,4.5,中潮,中潮,中潮
62,62,3/4,72.06,5.5,中潮,小潮,小潮
63,63,3/5,85.31,6.5,中潮,小潮,小潮
64,64,3/6,98.46,7.5,小潮,小潮,小潮
65,65,3/7,111.5,8.5,小潮,長潮,長潮
66,66,3/8,124.39,9.5,小潮,若潮,若潮
67,67,3/9,137.1,10.5,長潮,中潮,中潮
68,68,3/10,149.64,11.5,若潮,中潮,中潮
69,69,3/11,161.97,12.5,中潮,中潮,中潮
70,70,3/12,174.08,13.5,中潮,大潮,大潮
71,71,3/13,185.97,14.5,大潮,大潮,大潮
72,72,3/14,197.62,15.5,大潮,大潮,大潮
73,73,3/15,209.06,16.5,大潮,大潮,大潮
74,74,3/16,220.29,17.5,大潮,中潮,中潮
75,75,3/17,231.35,18.5,中潮,中潮,中潮
76,76,3/18,242.3,19.5,中潮,中潮,中潮
77,77,3/19,253.19,20.5,中潮,小潮,小潮
78,78,3/20,264.08,21.5,中潮,小潮,小潮
79,79,3/21,275.06,22.5,小潮,小潮,小潮
80,80,3/22,286.21,23.5,小潮,小潮,長潮
81,81,3/23,297.61,24.5,小潮,長潮,若潮
82,82,3/24,309.32,25.5,長潮,若潮,中潮
83,83,3/25,321.4,26.5,若潮,中潮,中潮
84,84,3/26,333.89,27.5,中潮,中潮,中潮
85,85,3/27,346.77,28.5,中潮,中潮,大潮
86,86,3/28,0.03,0.0,大潮,大潮,大潮
87,87,3/29,13.56,1.0,大潮,大潮,大潮
88,88,3/30,27.27,2.0,大潮,大潮,大潮
89,89,3/31,41.04,3.0,中潮,中潮,中潮
90,90,4/1,54.72,4.0,中潮,中潮,中潮
91,91,4/2,68.23,5.0,中潮,中潮,小潮
92,92,4/3,81.5,6.0,中潮,小潮,小潮
93,93,4/4,94.48,7.0,小潮,小潮,小潮
94,94,4/5,107.18,8.0,小潮,小潮,長潮
95,95,4/6,119.61,9.0,小潮,長潮,若潮
96,96,4/7,131.79,10.0,長潮,若潮,中潮
97,97,4/8,143.75,11.0,若潮,中潮,中潮
98,98,4/9,155.51,12.0,中潮,中潮,中潮
99,99,4/10,167.1,13.0,中潮,中潮,大潮
100,100,4/11,178.52,14.0,大潮,大潮,大潮
101,101,4/12,189.79,15.0,大潮,大潮,大潮
102,102,4/13,200.92,16.0,大潮,大潮,大潮
103,103,4/14,211.94,17.0,大潮,大潮,中潮
104,104,4/15,222.87,18.0,中潮,中潮,中潮
105,105,4/16,233.76,19.0,中潮,中潮,中潮
106,106,4/17,244.65,20.0,中潮,中潮,中潮
107,107,4/18,255.62,21.0,中潮,小潮,小潮
108,108,4/19,266.74,22.0,小潮,小潮,小潮
109,109,4/20,278.1,23.0,小潮,小潮,小潮
110,110,4/21,289.77,24.0,小潮,長潮,長潮
111,111,4/22,301.83,25.0,長潮,若潮,若潮
112,112,4/23,314.34,26.0,若潮,中潮,中潮
113,113,4/24,327.32,27.0,中潮,中潮,中潮
114,114,4/25,340.76,28.0,中潮,中潮,中潮
115,115,4/26,354.59,29.0,大潮,大潮,大潮
116,116,4/27,8.66,0.61,大潮,大潮,大潮
117,117,4/28,22.83,1.61,大潮,大潮,大潮
118,118,4/29,36.91,2.61,大潮,中潮,中潮
119,119,4/30,50.77,3.61,中潮,中潮,中潮
120,120,5/1,64.28,4.61,中潮,中潮,中潮
121,121,5/2,77.4,5.61,中潮,小潮,小潮
122,122,5/3,90.11,6.61,中潮,小潮,小潮
123,123,5/4,102.46,7.61,小潮,小潮,小潮
124,124,5/5,114.47,8.61,小潮,長潮,長潮
125,125,5/6,126.21,9.61,小潮,若潮,若潮
126,126,5/7,137.73,10.61,長潮,中潮,中潮
127,127,5/8,149.08,11.61,若潮,中潮,中潮
128,128,5/9,160.3,12.61,中潮,中潮,中潮
129,129,5/10,171.4,13.61,中潮,大潮,大潮
130,130,5/11,182.42,14.61,大潮,大潮,大潮
131,131,5/12,193.38,15.61,大潮,大潮,大潮
132,132,5/13,204.29,16.61,大潮,大潮,大潮
133,133,5/14,215.19,17.61,大潮,大潮,中潮
134,134,5/15,226.11,18.61,中潮,中潮,中潮
135,135,5/16,237.1,19.61,中潮,中潮,中潮
136,136,5/17,248.23,20.61,中潮,中潮,小潮
137,137,5/18,259.57,21.61,中潮,小潮,小潮
138,138,5/19,271.2,22.61,小潮,小潮,小潮
139,139,5/20,283.2,23.61,小潮,小潮,長潮
140,140,5/21,295.64,24.61,小潮,長潮,若潮
141,141,5/22,308.56,25.61,長潮,若潮,中潮
142,142,5/23,321.97,26.61,若潮,中潮,中潮
143,143,5/24,335.82,27.61,中潮,中潮,中潮
144,144,5/25,350.0,28.61,中潮,大潮,大潮
145,145,5/26,4.34,0.3,大潮,大潮,大潮
146,146,5/27,18.66,1.3,大潮,大潮,大潮
147,147,5/28,32.77,2.3,大潮,大潮,中潮
148,148,5/29,46.52,3.3,中潮,中潮,中潮
149,149,5/30,59.84,4.3,中潮,中潮,中潮
150,150,5/31,72.69,5.3,中潮,小潮,小潮
151,151,6/1,85.1,6.3,中潮,小潮,小潮
152,152,6/2,97.11,7.3,小潮,小潮,小潮
153,153,6/3,108.79,8.3,小潮,長潮,長潮
154,154,6/4,120.21,9.3,小潮,若潮,若潮
155,155,6/5,131.43,10.3,長潮,若潮,中潮
156,156,6/6,142.52,11.3,若潮,中潮,中潮
157,157,6/7,153.52,12.3,中潮,中潮,中潮
158,158,6/8,164.46,13.3,中潮,中潮,大潮
159,159,6/9,175.38,14.3,大潮,大潮,大潮
160,160,6/10,186.3,15.3,大潮,大潮,大潮
161,161,6/11,197.24,16.3,大潮,大潮,大潮
162,162,6/12,208.25,17.3,大潮,大潮,大潮
163,163,6/13,219.34,18.3,中潮,中潮,中潮
164,164,6/14,230.56,19.3,中潮,中潮,中潮
165,165,6/15,241.98,20.3,中潮,中潮,中潮
166,166,6/16,253.65,21.3,中潮,小潮,小潮
167,167,6/17,265.64,22.3,小潮,小潮,小潮
168,168,6/18,278.02,23.3,小潮,小潮,小潮
169,169,6/19,290.82,24.3,小潮,長潮,長潮
170,170,6/20,304.08,25.3,長潮,若潮,若潮
171,171,6/21,317.76,26.3,若潮,中潮,中潮
172,172,6/22,331.78,27.3,中潮,中潮,中潮
173,173,6/23,346.02,28.3,中潮,中潮,大潮
174,174,6/24,0.29,0.02,大潮,大潮,大潮
175,175,6/25,14.43,1.02,大潮,大潮,大潮
176,176,6/26,28.27,2.02,大潮,大潮,大潮
177,177,6/27,41.71,3.02,中潮,中潮,中潮
178,178,6/28,54.7,4.02,中潮,中潮,中潮
179,179,6/29,67.22,5.02,中潮,中潮,小潮
180,180,6/30,79.31,6.02,中潮,小潮,小潮
181,181,7/1,91.04,7.02,小潮,小潮,小潮
182,182,7/2,102.46,8.02,小潮,小潮,小潮
183,183,7/3,113.66,9.02,小潮,長潮,長潮
184,184,7/4,124.7,10.02,長潮,若潮,若潮
185,185,7/5,135.65,11.02,若潮,中潮,中潮
186,186,7/6,146.56,12.02,中潮,中潮,中潮
187,187,7/7,157.48,13.02,中潮,中潮,中潮
188,188,7/8,168.45,14.02,大潮,大潮,大潮
189,189,7/9,179.49,15.02,大潮,大潮,大潮
190,190,7/10,190.63,16.02,大潮,大潮,大潮
191,191,7/11,201.9,17.02,大潮,大潮,大潮
192,192,7/12,213.32,18.02,中潮,大潮,中潮
193,193,7/13,224.94,19.02,中潮,中潮,中潮
194,194,7/14,236.78,20.02,中潮,中潮,中潮
195,195,7/15,248.89,21.02,中潮,中潮,小潮
196,196,7/16,261.31,22.02,小潮,小潮,小潮
197,197,7/17,274.06,23.02,小潮,小潮,小潮
198,198,7/18,287.17,24.02,小潮,小潮,長潮
199,199,7/19,300.61,25.02,長潮,若潮,若潮
200,200,7/20,314.33,26.02,若潮,中潮,中潮
201,201,7/21,328.24,27.02,中潮,中潮,中潮
202,202,7/22,342.21,28.02,中潮,中潮,中潮
203,203,7/23,356.12,29.02,大潮,大潮,大潮
204,204,7/24,9.81,0.72,大潮,大潮,大潮
205,205,7/25,23.2,1.72,大潮,大潮,大潮
206,206,7/26,36.19,2.72,大潮,中潮,中潮
207,207,7/27,48.77,3.72,中潮,中潮,中潮
208,208,7/28,60.93,4.72,中潮,中潮,中潮
209,209,7/29,72.72,5.72,中潮,小潮,小潮
210,210,7/30,84.18,6.72,中潮,小潮,小潮
211,211,7/31,95.4,7.72,小潮,小潮,小潮
212,212,8/1,106.45,8.72,小潮,小潮,長潮
213,213,8/2,117.39,9.72,小潮,長潮,若潮
214,214,8/3,128.3,10.72,長潮,若潮,中潮
215,215,8/4,139.25,11.72,若潮,中潮,中潮
216,216,8/5,150.27,12.72,中潮,中潮,中潮
217,217,8/6,161.43,13.72,中潮,中潮,中潮
218,218,8/7,172.75,14.72,大潮,大潮,大潮
219,219,8/8,184.25,15.72,大潮,大潮,大潮
220,220,8/9,195.96,16.72,大潮,大潮,大潮
221,221,8/10,207.89,17.72,大潮,大潮,大潮
222,222,8/11,220.05,18.72,中潮,中潮,中潮
223,223,8/12,232.43,19.72,中潮,中潮,中潮
224,224,8/13,245.05,20.72,中潮,中潮,中潮
225,225,8/14,257.9,21.72,中潮,小潮,小潮
226,226,8/15,270.96,22.72,小潮,小潮,小潮
227,227,8/16,284.22,23.72,小潮,小潮,長潮
228,228,8/17,297.63,24.72,小潮,長潮,若潮
229,229,8/18,311.14,25.72,長潮,若潮,中潮
230,230,8/19,324.68,26.72,若潮,中潮,中潮
231,231,8/20,338.16,27.72,中潮,中潮,中潮
232,232,8/21,351.5,28.72,中潮,大潮,大潮
233,233,8/22,4.61,0.35,大潮,大潮,大潮
234,234,8/23,17.43,1.35,大潮,大潮,大潮
235,235,8/24,29.91,2.35,大潮,大潮,大潮
236,236,8/25,42.05,3.35,中潮,中潮,中潮
237,237,8/26,53.84,4.35,中潮,中潮,中潮
238,238,8/27,65.33,5.35,中潮,中潮,中潮
239,239,8/28,76.57,6.35,中潮,小潮,小潮
240,240,8/29,87.62,7.35,小潮,小潮,小潮
241,241,8/30,98.55,8.35,小潮,小潮,小潮
242,242,8/31,109.46,9.35,小潮,長潮,長潮
243,243,9/1,120.41,10.35,長潮,若潮,若潮
244,244,9/2,131.47,11.35,若潮,若潮,中潮
245,245,9/3,142.71,12.35,中潮,中潮,中潮
246,246,9/4,154.19,13.35,中潮,中潮,中潮
247,247,9/5,165.92,14.35,大潮,中潮,大潮
248,248,9/6,177.95,15.35,大潮,大潮,大潮
249,249,9/7,190.25,16.35,大潮,大潮,大潮
250,250,9/8,202.82,17.35,大潮,大潮,大潮
251,251,9/9,215.61,18.35,中潮,大潮,中潮
252,252,9/10,228.59,19.35,中潮,中潮,中潮
253,253,9/11,241.7,20.35,中潮,中潮,中潮
254,254,9/12,254.89,21.35,中潮,小潮,小潮
255,255,9/13,268.12,22.35,小潮,小潮,小潮
256,256,9/14,281.34,23.35,小潮,小潮,小潮
257,257,9/15,294.52,24.35,小潮,長潮,長潮
258,258,9/16,307.64,25.35,長潮,若潮,中潮
259,259,9/17,320.66,26.35,若潮,中潮,中潮
260,260,9/18,333.53,27.35,中潮,中潮,中潮
261,261,9/19,346.23,28.35,中潮,中潮,大潮
262,262,9/20,358.71,29.35,大潮,大潮,大潮
263,263,9/21,10.95,0.9,大潮,大潮,大潮
264,264,9/22,22.92,1.9,大潮,大潮,大潮
265,265,9/23,34.61,2.9,大潮,大潮,中潮
266,266,9/24,46.04,3.9,中潮,中潮,中潮
267,267,9/25,57.25,4.9,中潮,中潮,中潮
268,268,9/26,68.27,5.9,中潮,中潮,小潮
269,269,9/27,79.18,6.9,中潮,小潮,小潮
270,270,9/28,90.05,7.9,小潮,小潮,小潮
271,271,9/29,100.96,8.9,小潮,小潮,小潮
272,272,9/30,112.01,9.9,小潮,長潮,長潮
273,273,10/1,123.26,10.9,長潮,若潮,若潮
274,274,10/2,134.8,11.9,若潮,中潮,中潮
275,275,10/3,146.68,12.9,中潮,中潮,中潮
276,276,10/4,158.93,13.9,中潮,中潮,中潮
277,277,10/5,171.56,14.9,大潮,大潮,大潮
278,278,10/6,184.54,15.9,大潮,大潮,大潮
279,279,10/7,197.79,16.9,大潮,大潮,大潮
280,280,10/8,211.23,17.9,大潮,大潮,中潮
281,281,10/9,224.75,18.9,中潮,中潮,中潮
282,282,10/10,238.24,19.9,中潮,中潮,中潮
283,283,10/11,251.63,20.9,中潮,中潮,小潮
284,284,10/12,264.86,21.9,中潮,小潮,小潮
285,285,10/13,277.89,22.9,小潮,小潮,小潮
286,286,10/14,290.73,23.9,小潮,長潮,長潮
287,287,10/15,303.37,24.9,小潮,若潮,若潮
288,288,10/16,315.83,25.9,長潮,中潮,中潮
289,289,10/17,328.1,26.9,若潮,中潮,中潮
290,290,10/18,340.18,27.9,中潮,中潮,中潮
291,291,10/19,352.08,28.9,中潮,大潮,大潮
292,292,10/20,3.78,0.32,大潮,大潮,大潮
293,293,10/21,15.27,1.32,大潮,大潮,大潮
294,294,10/22,26.57,2.32,大潮,大潮,大潮
295,295,10/23,37.68,3.32,中潮,中潮,中潮
296,296,10/24,48.63,4.32,中潮,中潮,中潮
297,297,10/25,59.49,5.32,中潮,中潮,中潮
298,298,10/26,70.3,6.32,中潮,中潮,小潮
299,299,10/27,81.16,7.32,小潮,小潮,小潮
300,300,10/28,92.13,8.32,小潮,小潮,小潮
301,301,10/29,103.32,9.32,小潮,小潮,長潮
302,302,10/30,114.82,10.32,長潮,長潮,長潮
303,303,10/31,126.7,11.32,若潮,若潮,若潮
304,304,11/1,139.02,12.32,中潮,中潮,中潮
305,305,11/2,151.8,13.32,中潮,中潮,中潮
306,306,11/3,165.03,14.32,大潮,中潮,大潮
307,307,11/4,178.63,15.32,大潮,大潮,大潮
308,308,11/5,192.49,16.32,大潮,大潮,大潮
309,309,11/6,206.44,17.32,大潮,大潮,大潮
310,310,11/7,220.34,18.32,中潮,中潮,中潮
311,311,11/8,234.05,19.32,中潮,中潮,中潮
312,312,11/9,247.48,20.32,中潮,中潮,小潮
313,313,11/10,260.59,21.32,中潮,小潮,小潮
314,314,11/11,273.37,22.32,小潮,小潮,小潮
315,315,11/12,285.84,23.32,小潮,小潮,長潮
316,316,11/13,298.03,24.32,小潮,長潮,若潮
317,317,11/14,309.98,25.32,長潮,若潮,中潮
318,318,11/15,321.73,26.32,若潮,中潮,中潮
319,319,11/16,333.3,27.32,中潮,中潮,中潮
320,320,11/17,344.7,28.32,中潮,中潮,大潮
321,321,11/18,355.96,29.32,大潮,大潮,大潮
322,322,11/19,7.07,0.64,大潮,大潮,大潮
323,323,11/20,18.05,1.64,大潮,大潮,大潮
324,324,11/21,28.93,2.64,大潮,大潮,大潮
325,325,11/22,39.73,3.64,中潮,中潮,中潮
326,326,11/23,50.51,4.64,中潮,中潮,中潮
327,327,11/24,61.32,5.64,中潮,中潮,中潮
328,328,11/25,72.25,6.64,中潮,小潮,小潮
329,329,11/26,83.37,7.64,小潮,小潮,小潮
330,330,11/27,94.77,8.64,小潮,小潮,小潮
331,331,11/28,106.55,9.64,小潮,小潮,長潮
332,332,11/29,118.77,10.64,長潮,長潮,若潮
333,333,11/30,131.49,11.64,若潮,若潮,中潮
334,334,12/1,144.72,12.64,中潮,中潮,中潮
335,335,12/2,158.4,13.64,中潮,中潮,中潮
336,336,12/3,172.44,14.64,大潮,大潮,大潮
337,337,12/4,186.66,15.64,大潮,大潮,大潮
338,338,12/5,200.89,16.64,大潮,大潮,大潮
339,339,12/6,214.95,17.64,大潮,大潮,中潮
340,340,12/7,228.7,18.64,中潮,中潮,中潮
341,341,12/8,242.06,19.64,中潮,中潮,中潮
342,342,12/9,254.99,20.64,中潮,小潮,小潮
343,343,12/10,267.51,21.64,中潮,小潮,小潮
344,344,12/11,279.66,22.64,小潮,小潮,小潮
345,345,12/12,291.48,23.64,小潮,長潮,長潮
346,346,12/13,303.04,24.64,小潮,若潮,若潮
347,347,12/14,314.38,25.64,長潮,中潮,中潮
348,348,12/15,325.56,26.64,若潮,中潮,中潮
349,349,12/16,336.6,27.64,中潮,中潮,中潮
350,350,12/17,347.55,28.64,中潮,中潮,大潮
351,351,12/18,358.42,29.64,大潮,大潮,大潮
352,352,12/19,9.23,0.85,大潮,大潮,大潮
353,353,12/20,20.02,1.85,大潮,大潮,大潮
354,354,12/21,30.82,2.85,大潮,大潮,大潮
355,355,12/22,41.68,3.85,中潮,中潮,中潮
356,356,12/23,52.64,4.85,中潮,中潮,中潮
357,357,12/24,63.77,5.85,中潮,中潮,中潮
358,358,12/25,75.15,6.85,中潮,小潮,小潮
359,359,12/26,86.85,7.85,小潮,小潮,小潮
360,360,12/27,98.94,8.85,小潮,小潮,小潮
361,361,12/28,111.49,9.85,小潮,長潮,長潮
362,362,12/29,124.51,10.85,長潮,若潮,若潮
363,363,12/30,138.01,11.85,若潮,中潮,中潮
364,364,12/31,151.9,12.85,中潮,中潮,中潮
